Name,Platform_S,n_platforms,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,isSeries
EyeToy Play 2,PS2,1,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38,78,30,70,9,SCEE,E10+,1
EyeToy: AntiGrav,PS2,1,2004,Sports,Sony Computer Entertainment,0.36,0.01,0,0.06,0.43,71,38,78,5,Harmonix Music Systems,E,1
EyeToy: Groove,PS2,1,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,73,34,80,5,SCEE,E,1
EyeToy: Kinetic,PS2,1,2005,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.17,78,32,83,11,SCEE London Studio,E,1
F.E.A.R.,PS3,1,2007,Shooter,Vivendi Games,0.18,0.26,0,0.1,0.54,72,31,74,64,Day 1 Studios,M,1
F.E.A.R. 2: Project Origin,PS3,1,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.2,0.01,0.08,0.47,79,48,79,98,Monolith Productions,M,1
F.E.A.R. 3,PS3,1,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,0.45,74,48,71,103,Day 1 Studios,M,1
F1 2001,PS2,1,2001,Racing,Electronic Arts,0.07,0.06,0,0.02,0.15,83,13,83,9,EA Sports,E,1
F1 2002,PS2,1,2002,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12,81,11,64,10,Visual Sciences,E,1
F1 2009,PSP,1,2009,Racing,Codemasters,0.08,0.29,0,0.16,0.52,68,23,72,14,Sumo Digital,E,1
F1 2010,PS3,1,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84,46,78,83,Codemasters Birmingham,E,1
F1 2011,PS3/PSV,2,2011,Racing,Codemasters,0.15,0.81,0.12,0.26,1.33,74,36,66.5,55,Codemasters,E,1
F1 2012,PS3,1,2012,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03,81,23,75,54,Codemasters,E,1
F1 2013,PS3,1,2013,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,77,22,63,40,Codemasters Birmingham,E,1
F1 2014,PS3,1,2014,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62,19,41,28,Codemasters Birmingham,E,1
F1 2015,PS4,1,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65,46,63,43,Codemasters,E,1
F1 Career Challenge,PS2,1,2003,Racing,Electronic Arts,0.05,0.04,0,0.01,0.1,70,15,77,15,Electronic Arts,E,1
F1 Race Stars,PS3,1,2012,Racing,Codemasters,0.06,0.19,0,0.06,0.32,61,27,56,34,Codemasters,E,1
FaceBreaker,PS3,1,2008,Fighting,Electronic Arts,0.13,0.02,0,0.02,0.17,53,37,38,20,EA Canada,T,0
Fairy Fencer F,PS3,1,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65,31,74,50,Compile Heart,T,1
Fairy Fencer F: Advent Dark Force,PS4,1,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07,71,21,62,34,Compile Heart,T,1
Fairytale Fights,PS3,1,2009,Action,Playlogic Game Factory,0.11,0.03,0,0.02,0.17,53,34,60,22,"Playlogic, The Game Factory",M,0
Fallout 3,PS3,1,2008,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90,57,80,910,Bethesda Game Studios,M,1
Fallout 4,PS4,1,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,65,4228,Bethesda Game Studios,M,1
Fallout: Brotherhood of Steel,PS2,1,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01,0.07,64,31,41,51,Interplay,M,1
Fallout: New Vegas,PS3,1,2010,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,0.46,3.11,82,57,78,492,Obsidian Entertainment,M,1
Family Guy,PSP,1,2006,Action,Take-Two Interactive,0.18,0,0,0.02,0.19,51,14,63,15,High Voltage Software,M,1
Family Guy: Back to the Multiverse,PS3,1,2012,Action,Activision,0.12,0.1,0,0.04,0.26,40,9,64,31,Heavy Iron Studios,M,1
Fantastic 4,PS2,1,2005,Action,Activision,0.41,0.01,0,0.07,0.5,64,42,78,19,7 Studios,T,1
Fantastic Four: Rise of the Silver Surfer,PS2/PS3,2,2007,Action,Take-Two Interactive,0.31,0.17,0,0.07,0.54,41.5,26,63,17,7 Studios,T,1
Fantavision,PS2,1,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72,18,63,9,SCEJ,E,0
Far Cry 2,PS3,1,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85,49,64,241,Ubisoft Montreal,M,1
Far Cry 3,PS3,1,2012,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,90,32,85,1041,Ubisoft Montreal,M,1
Far Cry 4,PS4,1,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,77,1653,Ubisoft Montreal,M,1
Far Cry: Primal,PS4,1,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76,91,63,635,Ubisoft Montreal,M,1
Farming Simulator 17,PS4,1,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41,69,17,87,12,Maximum Games,E,1
Farming Simulator 2013,PS3,1,2013,Simulation,Focus Home Interactive,0,0.09,0.02,0.02,0.14,40,17,29,9,Giants Software,E,1
Fat Princess: Fistful of Cake,PSP,1,2010,Action,Sony Computer Entertainment,0.08,0.02,0,0.02,0.12,74,33,87,25,SuperVillain Studios,T,0
Fatal Frame,PS2,1,2001,Action,Wanadoo,0.07,0.06,0,0.02,0.14,74,22,89,72,Tecmo,T,1
Fatal Frame II: Crimson Butterfly,PS2,1,2003,Action,Ubisoft,0.08,0.06,0,0.02,0.16,81,40,92,100,Tecmo,M,1
Fatal Frame III: The Tormented,PS2,1,2005,Action,Take-Two Interactive,0.04,0.03,0,0.01,0.08,78,46,89,58,Tecmo,M,1
Fatal Fury: Battle Archives Volume 1,PS2,1,2006,Fighting,Ignition Entertainment,0.02,0.01,0,0,0.04,68,22,83,4,SNK Playmore,T,1
Fate/Extra,PSP,1,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31,58,10,81,39,"Image Epoch, Imageepoch",T,0
Fear Effect 2: Retro Helix,PS,1,2001,Action,Eidos Interactive,0.1,0.07,0,0.01,0.18,84,15,89,17,Kronos Digital Entertainment,M,0
Ferrari Challenge Trofeo Pirelli,PS3,1,2008,Racing,System 3 Arcade Software,0,0.03,0,0.01,0.04,71,37,62,26,Eutechnyx,E,0
Ferrari F355 Challenge,PS2,1,2002,Racing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05,70,14,44,5,Sega AM2,E,0
Field Commander,PSP,1,2006,Strategy,Sony Online Entertainment,0.14,0,0,0.01,0.16,77,53,78,31,"Sony Online Entertainment, Mind Control Software",T,0
FIFA 14,PS3/PS4,2,2013,Sports,Electronic Arts,1.39,6.09,0.18,1.81,9.48,86.5,37,53,616,EA Canada,E,1
FIFA 15,PS4,1,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,57,988,EA Sports,E,1
FIFA 16,PS4,1,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,43,896,EA Sports,E,1
FIFA 17,PS4,1,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,50,398,"EA Sports, EA Vancouver",E,1
FIFA 2001 Major League Soccer,PS,1,2000,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,85,10,78,5,EA Sports,E,1
FIFA Soccer,PSV/PSP,2,2005,Sports,Electronic Arts,0.27,0.32,0.02,0.09,0.7,76,45,74.5,79,Electronic Arts,E,1
FIFA Soccer 06,PS2/PSP,2,2005,Sports,Electronic Arts,0.88,2.55,0.04,0.85,4.32,78.5,32,77.5,47,EA Canada,E,1
FIFA Soccer 08,PS2/PS3/PSP,3,2007,Sports,Electronic Arts,1.23,1.82,0.02,3.16,6.24,81,28,70,47,EA Canada,E,1
FIFA Soccer 09,PS2/PS3/PSP,3,2008,Sports,Electronic Arts,1.09,2.43,0.07,2.62,6.21,84.33333333,42,77.66666667,108,EA Canada,E,1
FIFA Soccer 10,PS3/PSP,2,2009,Sports,Electronic Arts,0.75,3.12,0.06,0.83,4.77,87,56,77.5,203,EA Sports,E,1
FIFA Soccer 11,PS3/PSP,2,2010,Sports,Electronic Arts,0.74,3.97,0.07,1.48,6.27,78.5,51,67,233,EA Sports,E,1
FIFA Soccer 13,PS3/PSV,2,2012,Action,Electronic Arts,1.06,5.29,0.18,2.08,8.6,72.5,37,53.5,348,Electronic Arts,E,1
FIFA Soccer 2002,PS/PS2,2,2001,Sports,Electronic Arts,0.39,0.3,0,0.09,0.78,81.5,17,61,28,EA Sports,E,1
FIFA Soccer 2003,PS2,1,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,88,15,67,35,EA Canada,E,1
FIFA Soccer 2005,PS2,1,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81,27,76,56,EA Canada,E,1
FIFA Street,PS2/PS3,2,2005,Sports,Electronic Arts,0.27,1.01,0,0.27,1.54,67.5,36,71.5,66,EA Sports,E,1
FIFA Street 2,PS2/PSP,2,2006,Sports,Electronic Arts,0.24,0.18,0.02,0.06,0.5,58.5,27,73,42,EA Canada,E,1
FIFA Street 3,PS3,1,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.32,63,37,69,19,EA Canada,E,1
FIFA World Cup Germany 2006,PS2/PSP,2,2006,Sports,Electronic Arts,0.57,0.02,0,0.09,0.68,74.5,28,77,33,EA Canada,E,1
Fight Club,PS2,1,2004,Fighting,Vivendi Games,0.09,0.07,0,0.02,0.18,36,28,44,22,Genuine Games,M,0
Fight Night 2004,PS2,1,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48,85,43,90,25,EA Sports,T,1
Fight Night Champion,PS3,1,2011,Fighting,Electronic Arts,0.45,0.49,0,0.18,1.11,84,52,73,95,EA Canada,M,1
Fight Night Round 2,PS2,1,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87,88,37,90,37,EA Sports,T,1
Fight Night Round 3,PS2/PS3/PSP,3,2006,Fighting,Electronic Arts,2.34,0.99,0.01,0.4,3.75,80.33333333,37,80.33333333,41,EA Chicago,T,1
Fight Night Round 4,PS3,1,2009,Fighting,Electronic Arts,0.92,0.4,0,0.2,1.52,88,46,76,95,EA Canada,T,1
Fighter Maker 2,PS2,1,2002,Fighting,Enterbrain,0.03,0.03,0,0.01,0.07,58,11,78,5,Enterbrain,T,0
Final Fantasy Anniversary Edition,PSP,1,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.58,67,34,77,47,TOSE,E10+,1
Final Fantasy Anthology,PS,1,1999,Role-Playing,Square EA,0.45,0.3,0,0.05,0.8,80,14,81,28,SquareSoft,T,1
Final Fantasy Chronicles,PS,1,2001,Role-Playing,Square,0.29,0.2,0,0.03,0.52,89,15,91,37,TOSE,T,1
Final Fantasy II Anniversary Edition,PSP,1,2007,Role-Playing,Square Enix,0.36,0.02,0.07,0.04,0.5,63,31,71,24,TOSE,T,1
Final Fantasy IV: The Complete Collection,PSP,1,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,77,41,75,80,Bullets,E10+,1
Final Fantasy IX,PS,1,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,89,779,SquareSoft,T,1
Final Fantasy Tactics,PS,1,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,83,12,82,190,SquareSoft,T,1
Final Fantasy Tactics: The War of the Lions,PSP,1,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,88,41,80,238,TOSE,T,1
Final Fantasy VII,PS,1,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,92,1282,SquareSoft,T,1
Final Fantasy VIII,PS,1,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,86,644,SquareSoft,T,1
Final Fantasy X,PS2,1,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,87,1056,SquareSoft,T,1
Final Fantasy X-2,PS2,1,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,66,400,SquareSoft,T,1
Final Fantasy X / X-2 HD Remaster,PS3/PSV,2,2013,Role-Playing,Square Enix,0.59,0.6,0.6,0.28,2.07,85.5,50,85,332,Virtuos,T,1
Final Fantasy XI: Chains of Promathia,PS2,1,2004,Role-Playing,Square Enix,0.12,0.09,0,0.03,0.25,77,13,80,10,Square Enix,T,1
Final Fantasy XI: Treasures of Aht Urhgan,PS2,1,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23,87,4,71,13,Square Enix,T,1
Final Fantasy XII,PS2,1,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,76,972,Square Enix,T,1
Final Fantasy XIII,PS3,1,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,73,2483,Square Enix,T,1
Final Fantasy XIII-2,PS3,1,2011,Role-Playing,Square Enix,0.78,0.73,0.89,0.23,2.63,79,53,66,707,Square Enix,T,1
Final Fantasy XIV: Heavensward,PS4,1,2015,Action,Square Enix,0,0.06,0.06,0.01,0.13,86,20,76,225,Square Enix,T,1
Final Fight: Streetwise,PS2,1,2006,Action,Capcom,0.03,0.02,0,0.01,0.05,43,36,62,11,Capcom,M,0
Fire Pro Wrestling Returns,PS2,1,2005,Sports,505 Games,0.04,0.03,0,0.01,0.09,78,12,85,17,S-Neo,T,0
Fisherman's Challenge,PS2,1,2003,Sports,Konami Digital Entertainment,0.02,0.02,0,0.01,0.04,67,7,75,4,Konami,E,0
Fist of the North Star: Ken's Rage,PS3,1,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60,30,69,29,"Koei, Omega Force",M,1
Fist of the North Star: Ken's Rage 2,PS3,1,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3,49,19,70,19,"Koei, Omega Force",M,1
FlatOut,PS2,1,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38,70,30,85,16,Bugbear,T,1
FlatOut 2,PS2,1,2006,Racing,Empire Interactive,0.08,0.06,0,0.02,0.16,73,44,75,27,Bugbear,T,1
FlatOut: Head On,PSP,1,2008,Racing,Empire Interactive,0.13,0.1,0,0.06,0.29,74,28,82,21,Bugbear,T,1
Flipnic: Ultimate Pinball,PS2,1,2003,Misc,Ubisoft,0.03,0.02,0,0.01,0.06,64,28,81,12,SCEI,E,0
Folklore,PS3,1,2007,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.05,0.03,0.32,75,55,82,145,"Game Republic, JapanStudio",T,0
Football Manager Handheld 2010,PSP,1,2009,Sports,Sega,0,0.26,0,0.09,0.35,69,10,69,7,Sports Interactive,E,1
Football Manager Handheld 2011,PSP,1,2010,Sports,Sega,0,0.27,0,0.14,0.41,77,5,77,6,Sports Interactive,E,1
Ford Mustang: The Legend Lives,PS2,1,2005,Racing,Take-Two Interactive,0.14,0.11,0,0.04,0.29,58,5,73,8,Eutechnyx,E,1
Ford Racing,PS,1,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86,53,4,58,4,Toolbox Design,E,1
Ford Racing 2,PS2,1,2003,Racing,Empire Interactive,0.49,0.38,0,0.13,1,51,5,80,8,Razorworks Studios,E,1
Ford Racing 3,PS2,1,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26,50,7,66,8,Razorworks Studios,E,1
Forever Kingdom,PS2,1,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01,0.09,64,13,78,6,From Software,T,1
Forgotten Realms: Demon Stone,PS2,1,2004,Action,Atari,0.1,0.08,0,0.03,0.2,71,40,68,18,Stormfront Studios,T,1
Formula One 2001,PS2,1,2001,Racing,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,73,18,60,5,Studio Liverpool,E,1
Fracture,PS3,1,2008,Shooter,LucasArts,0.11,0.04,0,0.02,0.16,62,40,58,18,Day 1 Studios,T,0
Freedom Fighters,PS2,1,2003,Shooter,Electronic Arts,0.25,0.2,0,0.07,0.52,81,26,84,57,Io Interactive,T,1
Freedom Wars,PSV,1,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73,39,83,265,"Dimps Corporation, SCE Japan Studio",T,1
Freekstyle,PS2,1,2002,Racing,Electronic Arts,0.52,0.41,0,0.14,1.06,81,25,73,14,Page 44 Studios,E,1
Freestyle Metal X,PS2,1,2003,Racing,Midway Games,0.04,0.03,0,0.01,0.09,67,25,83,17,Deibus Studios,T,1
Frequency,PS2,1,2001,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,83,26,90,29,Harmonix Music Systems,E,0
Frogger's Adventures: The Rescue,PS2,1,2003,Platform,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32,59,12,85,6,Konami,E,1
Frogger 2: Swampy's Revenge,PS,1,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43,77,4,79,8,Blitz Games,E,1
Frogger: Ancient Shadow,PS2,1,2005,Platform,Konami Digital Entertainment,0.05,0.04,0,0.01,0.1,54,17,40,5,Hudson Soft,E,1
Frogger: Helmet Chaos,PSP,1,2005,Platform,Konami Digital Entertainment,0.1,0,0,0.01,0.11,66,18,64,5,Konami Computer Entertainment Hawaii,E,1
Frogger: The Great Quest,PS2,1,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,32,6,46,29,Konami,E,1
From Russia With Love,PS2/PSP,2,2005,Action,Electronic Arts,0.41,0.01,0,0.07,0.49,65,33,72.5,36,EA Redwood Shores,T,0
Front Mission 4,PS2,1,2003,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54,75,39,86,22,Square Enix,T,1
Front Mission Evolved,PS3,1,2010,Shooter,Square Enix,0.09,0.06,0.11,0.03,0.29,58,42,60,30,Double Helix Games,T,1
Fuel,PS3,1,2009,Racing,Codemasters,0.08,0.11,0,0.04,0.24,67,44,74,36,Asobo Studio,E,0
Fugitive Hunter: War on Terror,PS2,1,2003,Shooter,Play It,0.07,0.06,0,0.02,0.15,35,15,50,23,Black Ops Entertainment,M,0
Full Auto 2: Battlelines,PS3,1,2006,Racing,Sega,0.14,0.02,0,0.02,0.18,67,43,76,25,Pseudo Interactive,T,1
Full Spectrum Warrior,PS2,1,2005,Strategy,THQ,0.15,0.11,0,0.04,0.3,74,24,80,13,Pandemic Studios,M,1
Full Spectrum Warrior: Ten Hammers,PS2,1,2006,Strategy,THQ,0.03,0.02,0,0.01,0.07,71,26,80,5,Pandemic Studios,M,1
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,1,2004,Role-Playing,Square Enix,0.13,0.1,0,0.03,0.27,67,21,84,20,Racjin,T,1
Fullmetal Alchemist and the Broken Angel,PS2,1,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,56,35,81,38,Racjin,T,1
FunkMaster Flex's Digital Hitz Factory,PS2,1,2003,Misc,Jester Interactive,0.02,0.01,0,0,0.04,71,6,89,10,Jester Interactive,E,0
Fur Fighters: Viggo's Revenge,PS2,1,2001,Action,Acclaim Entertainment,0.07,0.05,0,0.02,0.14,64,15,73,37,Bizarre Creations,T,0
Futurama,PS2,1,2003,Platform,SCi,0.04,0.03,0,0.01,0.07,59,22,66,14,UDS,T,0
Future Tactics: The Uprising,PS2,1,2004,Strategy,Crave Entertainment,0.03,0.03,0,0.01,0.07,61,25,60,6,Zed Two Limited,T,0
G-Force,PS3,1,2009,Action,Disney Interactive Studios,0.13,0.06,0,0.03,0.22,68,22,76,7,Eurocom Entertainment Software,E10+,0
G.I. Joe: The Rise of Cobra,PS2/PS3,2,2009,Action,Electronic Arts,0.22,0.07,0,0.06,0.35,46.5,32,35.5,13,Double Helix Games,T,0
G1 Jockey 3,PS2,1,2002,Sports,THQ,0.02,0.01,0.07,0,0.1,71,12,90,10,Koei/Inis,E,0
Gadget Racers,PS2,1,2000,Racing,Midas Interactive Entertainment,0.04,0.03,0,0.01,0.08,67,10,74,7,Barnhouse Effect,E,0
Galactic Wrestling: Featuring Ultimate Muscle,PS2,1,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,61,12,80,5,Aki Corp.,T,0
Galerians: Ash,PS2,1,2002,Adventure,Sammy Corporation,0.03,0.03,0,0.01,0.07,50,22,79,11,Polygon Magic,T,0
Gallop Racer 2001,PS2,1,2001,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,71,11,91,56,Tecmo,E,1
Gallop Racer 2003: A New Breed,PS2,1,2002,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,68,16,85,15,Tecmo,E,1
Gallop Racer 2004,PS2,1,2004,Sports,Zoo Digital Publishing,0.03,0.02,0,0.01,0.06,70,15,87,12,Tecmo,E,1
Gallop Racer 2006,PS2,1,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,69,15,83,8,Tecmo,E,1
Game of Thrones,PS3,1,2012,Role-Playing,Focus Home Interactive,0.1,0.1,0,0.03,0.24,53,14,55,81,"Cyanide, Cyanide Studios",M,0
Gangs of London,PSP,1,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0,0.22,0.95,52,47,67,18,SCEE London Studio,M,0
Gauntlet: Dark Legacy,PS2,1,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15,73,15,83,30,Midway,T,1
Gauntlet: Seven Sorrows,PS2,1,2005,Role-Playing,Midway Games,0.2,0.15,0,0.05,0.4,59,38,57,20,Midway,T,1
Generation of Chaos,PSP,1,2005,Role-Playing,Midas Interactive Entertainment,0.05,0,0,0,0.06,60,29,77,18,Idea Factory,T,0
Genji: Dawn of the Samurai,PS2,1,2005,Action,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,74,49,83,19,Game Republic,M,1
Genji: Days of the Blade,PS3,1,2006,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75,55,46,58,30,Game Republic,T,1
Get Fit with Mel B,PS3,1,2010,Sports,Black Bean Games,0.15,0.16,0,0.07,0.38,73,4,58,4,Lightning Fish Games,E,0
Get On Da Mic,PS2,1,2004,Misc,Eidos Interactive,0.07,0.06,0,0.02,0.15,49,29,63,7,Artificial Mind and Movement,T,0
Ghost in the Shell: Stand Alone Complex,PSP,1,2005,Adventure,Atari,0.06,0,0,0.01,0.07,61,23,74,14,G-Artists,T,0
Ghost Rider,PSP,1,2007,Action,Take-Two Interactive,0.22,0,0,0.02,0.24,49,17,57,13,Climax Group,T,0
Ghostbusters: The Video Game,PS2/PS3/PSP,3,2009,Action,Sony Computer Entertainment,0.65,0.41,0,0.4,1.45,65.33333333,74,71,96,Terminal Reality,T,0
Ghosthunter,PS2,1,2003,Action,Sony Computer Entertainment,0.04,0.03,0,0.01,0.09,69,44,87,22,SCE Studio Cambridge,T,0
Giants: Citizen Kabuto,PS2,1,2001,Shooter,Interplay,0.03,0.02,0,0.01,0.06,79,15,69,8,Digital Mayhem,T,0
Gitaroo Man,PS2,1,2001,Misc,THQ,0.02,0.02,0,0.01,0.05,82,21,87,25,Koei/Inis,E,0
Gladiator Begins,PSP,1,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12,59,9,80,14,Acquire,M,0
Gladiator: Sword of Vengeance,PS2,1,2003,Action,Acclaim Entertainment,0.06,0.05,0,0.02,0.12,65,19,58,8,Acclaim Studios Manchester,M,0
Gladius,PS2,1,2003,Strategy,Activision,0.1,0.08,0,0.03,0.2,78,27,80,22,LucasArts,T,0
Goblin Commander: Unleash the Horde,PS2,1,2003,Strategy,Jaleco,0.08,0.07,0,0.02,0.17,68,21,87,14,Jaleco Entertainment,T,0
God Eater 2: Rage Burst,PS4,1,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.11,69,35,80,79,Shift,T,1
God Eater Resurrection,PS4,1,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08,70,18,78,44,"Shift, Bandai Namco Games",T,1
God Hand,PS2,1,2006,Action,Capcom,0,0,0.07,0,0.07,73,48,77,165,Clover Studio,M,0
God of War,PS2,1,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94,75,89,997,SCE Santa Monica,M,1
God of War Collection,PS3/PSV,2,2009,Action,Sony Computer Entertainment,1.78,0.5,0.07,0.45,2.8,82,50,80.5,529,Bluepoint Games,M,1
God of War II,PS2,1,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93,70,89,709,SCE Santa Monica,M,1
God of War III,PS3,1,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92,101,87,2633,SCE Santa Monica,M,1
God of War: Ascension,PS3,1,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80,89,75,914,SCE Santa Monica,M,1
God of War: Chains of Olympus,PSP,1,2008,Action,Sony Computer Entertainment,1.48,1,0.04,0.66,3.18,91,79,86,565,Ready at Dawn,M,1
God of War: Ghost of Sparta,PSP,1,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1,86,73,84,255,Ready at Dawn,M,1
God of War: Origins Collection,PS3,1,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,84,58,84,208,Ready at Dawn,M,1
Godai: Elemental Force,PS2,1,2002,Action,3DO,0.04,0.03,0,0.01,0.07,27,10,38,19,3DO,T,0
Gods Eater Burst,PSP,1,2010,Action,Namco Bandai Games,0.03,0,0.62,0,0.66,71,30,79,35,"Shift, Bandai Namco Games",T,0
Godzilla: Save the Earth,PS2,1,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47,62,19,87,21,"Pipeworks Software, Inc.",T,0
Golden Axe: Beast Rider,PS3,1,2008,Action,Sega,0.13,0.14,0,0.06,0.32,44,30,56,23,Secret Level,M,0
Goldeneye 007: Reloaded,PS3,1,2011,Shooter,Activision,0.33,0.33,0,0.12,0.78,72,38,63,52,Eurocom Entertainment Software,T,1
GoldenEye: Rogue Agent,PS2,1,2004,Shooter,Electronic Arts,0.54,0.02,0,0.09,0.64,60,38,70,32,EA LA,T,1
Gradius Collection,PSP,1,2006,Shooter,Konami Digital Entertainment,0.04,0,0.02,0,0.06,76,44,85,4,M2,E,1
Gradius V,PS2,1,2004,Shooter,Konami Digital Entertainment,0.05,0.04,0,0.01,0.09,82,46,85,13,Treasure,T,1
Graffiti Kingdom,PS2,1,2004,Role-Playing,505 Games,0.01,0.01,0,0,0.03,71,27,71,12,Taito Corporation,E,0
Gran Turismo,PS,1,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,87,138,Polyphony Digital,E,1
Gran Turismo 2,PS,1,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,90,135,Polyphony Digital,T,1
Gran Turismo 3: A-Spec,PS2,1,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,84,314,Polyphony Digital,E,1
Gran Turismo 4,PS2,1,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,85,272,Polyphony Digital,E,1
Gran Turismo 5,PS3,1,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,75,1112,Polyphony Digital,E,1
Gran Turismo 5 Prologue,PS3,1,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80,67,71,120,Polyphony Digital,E,1
